Artikel;Netto;Name DE;Text DE;Name EN;Text EN;Name FR;Text FR;Name IT;Text IT;Name SL;Text SL;Name ES;Text ES;Name NL;Text NL;Name DA;Text DA;Name FI;Text FI;Name SV;Text SV;Rabattgruppe;id;peso;
02-1000020;23,00;Schlauch Ø100mm;;Hose Ø100mm;;Flexible PU/L Ø100mm difficilement inflammable                 ;;Tubo flessibile Ø100 mm;;Cev PU/L Ø100 mm, težko vnetljiva;;Manguera Ø100mm;;Slang Ø100 mm;;;;;;;;Zubeh;334748;;
02-1000091;113,00;Brandschutzmanschette für Schlauch DM 52-64mm;;Fire protection collar for tube DM 52-64mm;;Joint coupe-feu pour tuyau de 52 à 64 mm de diamètre;;Collare antincendio per tubo flessibile DM 52-64mm;;Protipožarna objemka za cev, premer 52–64mm;;Manguito de protección frente al fuego para Manguera DM 50-63mm;;Brandwerende manchet voor slang DM 52-64mm;;;;;;;;Zubeh;334749;;
02-1000092;141,00;Brandschutzmanschette für Schlauch DM 75-90mm;;Fire protection collar for tube DM 75-90mm;;Joint coupe-feu pour tuyau de 75 à 90 mm de diamètre           ;;Collare antincendio per tubo flessibile DM 75-90 mm            ;;Protipožarna objemka za cev, premer 75–90mm;;Manguito de protección frente al fuego para Manguera DM 75-90mm;;Brandwerende manchet voor slang DM 75-90mm;;;;;;;;Zubeh;334750;;
02-2000014;162,00;Brandschutzmanschette DM100 mm;;Fire protection sleeve DM100 mm;;Joint coupe-feu diamètre 100 mm;;Collare antincendio DM100 mm;;Protipožarna manšeta DM100 mm;;Manguito de protección contra incendios de 100 mm de diámetro;;Brandwerende manchet DM100 mm;;;;;;;;Zubeh;334751;;
03-1000654;6,00;Erdungsschelle Einblasstutzen Rohrschelle vz d=100;;Earthing clamp injection connector pipe clamp galvanised d=100;;Collier mise à la terre manchon soufflage collier zingué d=100;;Graffa per presa di terra bocch. di insuffl. zincata d=100;;Ozem. sponka, cevna objemka polnil. nas., pocinkana d=100;;Abrazadera de tierra tubo tobera de inyección galv. d=100;;Aardklem inblaaspijp buisbeugel vz d=100;;;;;;;;LZ;334752;;
04-1000088;31.405,00;KWB Powerfire Typ TDS 150;"Hackgut- und Pelletheizung geeignet für die Kombination mit der KWB-Raumaustragung. KWB BRENNSYSTEM: Das Brennsystem ist als Einschubfeuerung mit Rotationsringrost ausgeführt. Der Brennstoff wird seitlich auf einen Rotationsrost geschoben. Das Brennsystem ist geeignet für die Verbrennung von Hackgut P16S, P31S mit bis zu 45 % Wassergehalt gemäß ISO 17225-4 sowie Holzpellets Qualitätsstufe A1 und A2 gemäß ISO 17225-2. Die Zündung des Brennstoffes erfolgt vollautomatisch mittels Heißluftgebläse (Leistung: 1.000 Watt) Die anfallende Asche wird von einer Reinigungsvorrichtung aus dem Feuerraum ausgeschleust und in den angebauten Aschebehälter transportiert. Als Rückbrandschutzeinrichtung dient eine gasdicht schließende Brandschutzklappe und eine thermischen Rückbrandsicherung: Die dichte Brandschutzklappe schließt bei Stromausfall selbsttätig mittels Federrückzugmotor. Die thermische Rückbrandsicherung ist als Not-Löscheinrichtung zur Rückbrandlöschung ausgeführt und funktioniert stromlos. KWB HEIZKESSEL: Stehender Röhrenwärmetauscher - bestehend Kesselstahlrohren und autom. Wärmetauscherreinigung. VORTEIL: gleichbleibend hoher Wirkungsgrad. Der Unterbau im Bereich des Brennsystems als auch der Deckel des Wärmetauschers sind wassergekühlt, was die Abstrahlverluste verringert. Durch die Vollisolierung werden die Abstrahlverluste weiter minimiert. KWB SAUGZUGVENTILATOR: Heißluft-Radialventilator - Radiallüfterrad aus säurebeständigem Edelstahl. Vorteil: keine Zugprobleme! KWB COMFORT 3 MIKROPROZESSORREGELUNG: Serienmäßig mit KWB-Comfort Mikroprozessorregelung inkl. Bedienkonzept. Die Kesselleistung wird bedarfsabhängig und automatisch vom Bereitschaftsbetrieb bis zum Volllastbetrieb dem Wärmebedarf angepasst. KWB Comfort 3 bestehend aus: - I/O-Platineneinheit (Ein-/Ausgänge plus Klemmleiste) inkl. sämtlicher Sensorik - 1 Stk. Bediengerät mit großzügigem Grafikdisplay sowie 1 Scrollrad und 2 Bedientasten. Die KWB Comfort 3 ist auf Aufpreis modular erweiterbar mit einem Heizkreiserweiterungsmodul für je 2 Heizkreise und je einem Boiler & Puffer, einem digitalem und analogem Fernbediengerät, Maximalkonfiguration: 32 Heizkreise, 17 Boiler, 17 Puffer, Bis auf das analoge Fernbediengerät kommunizieren alle einzelnen Regelungskomponenten mittels RS 485-Bus miteinander. KWB Comfort Online: Die Online-Plattform KWB Comfort Online ermöglicht die einfache und flexible Steuerung/Überwachung ihrer KWB Heizungsanlage mittels Smartphone, Tablett o.ä. Die Software der Comfort Online besteht aus einem kostenlosem Funktionsumfang und mehreren optionalen kostenpflichtigen Funktions- u. Datenpaketen – Rücksprache mit KWB. Hinweis: bei Heizungsanlagen mit der Regelung Comfort 3 wird zusätzlich eine Netzwerkkarte Art-Nr. 13-2000395 benötigt!
TECHNISCHE DATEN: Type: KWB Powerfire Typ TDS 150/151, Maximale Heizleistung: 150/151 kW (bei 30% Wassergehalt), Max. zulässiger Betriebsdruck: 3,5 bar, Leistungsbereich: 45 - 150/151 kW, Wasseranschluss Durchm.: DN 50 (Flansch),. Thermische Ablaufsicherung: 3/4|||, Anschluss elektrisch: 400 V 5-polig 50Hz, Elektrische Anschlussleistung Kessel: 3010 W (exkl. Raumaustragung),Gesamtgewicht leer: 1972 kg, Umgebungsbedingungen für Betrieb: Temp. -10 bis +40°C/Rel. Luftfeuchte 5 bis 95%, nicht kondensierend";KWB Powerfire type TDS 150                                     ;"Wood chip and pellet heating system suitable for combination with KWB fuel extraction.

KWB FIRING SYSTEM:
The firing system is designed as a stoker-fed firing system with rotary ring grate. The fuel is pushed sideways onto the rotary grate consisting of numerous rings. The fuel is transported by the rotary movement of the grate thus providing for a completely smooth fuel bed and optimum low dust emissions.

The stoker worm is fitted with a spiral progressively increasing in size to prevent congestion. Primary combustion air is supplied by means of speed-regulated ventilators beneath the rotary ring grate and enabled by a special air-distribution system, which allows for a progressive, staged air supply despite the rotary movement of the grate. The staged air supply enables the amount of air added to be optimally adjusted to the gasification speed of the fuel on the grate.

The fuel system is suitable for the burning of wood chips B1 and B2 according to CEN TC 335 and wood pellets according to Austrian standard EN 14961-2 as well as industrial wood pellets.

Ignition of the fuel is carried out fully automatically using preheated air (power rating: 1,400 Watt). After complete burnout, the ash is discharged from the firebox by means of a specially developed cleaning system and onto the ash-extractor worm beneath the firing system, which transports the ash to the integrated ash container.

A gas-tight and self-closing fire shutter serves as a backfire protection device (BPD) and thermal acting backfire safeguard. Tight fit of the fire shutter is tested and approved by the Institute of Fire and Security Technology and the shutter also closes automatically in case of power failure by means of the spring return motor (1.5 Nm). The thermal backfire safeguard is designed as an emergency fire extinguisher for putting out fires and works without electricity.

The wood gases are completely burnt in the downstream secondary burning zone, which is designed as an upright rotational combustion chamber. The rotational combustion chamber provides a vortex flow of the flue-gas-air-mixture in combination with a specially developed secondary air jet and thus guarantees optimum combustion conditions and lowest emissions. Drawn-in dust particles are additionally intercepted onto the wall of the rotational combustion chamber by means of the vortex flow and thus lowest dust emissions are achieved.

KWB HEATING BOILER:
Upright tubular heat exchanger – comprising seamless boiler steel pipes and fully automatic KWB heat-exchanger cleaning system (turbulators – incl. separate drive). ADVANTAGE: consistently high degree of efficiency.

Both the substructure in the area of the firing system and the cover of the heat exchanger are water cooled, thus enabling radiation loss to be considerably reduced. Loss due to radiation is further minimised by comprehensive full insulation.

KWB INDUCED-DRAFT FAN:
Hot air radial fan – radial fan made of acid-proof stainless steel.
ADVANTAGE: No draft problems!!

KWB COMFORT 3 MICRO PROCESSOR CONTROL UNIT:
equipped with KWB-Comfort micro processor control unit incl. innovative operating concept as standard. The boiler capacity is adjusted fully automatically from stand-by to full load according to heat demand. Intelligent contactless fuel-level monitoring in combination with an innovative complete-combustion control on the grate and permanent exhaust gas analysis make for optimum combustion conditions and lowest emissions at the highest degree of efficiency.

KWB Comfort 3 comprising:
- I/O-board unit (inputs / outputs plus terminal bar) incl. all sensors
- 1 item Control unit with large graphic display as well as one scroll wheel and two buttons

For an additional charge the KWB Comfort 3 can be upgraded with the following:
- heating circuit expansion module fitted out for 2 heating circuits and one DHWC and buffer
- digital remote control unit
- analogue remote control unit

Maximum configuration:
- 32 heating circuits
- 17 DHWCs
- 17 buffers

Other than the analogue remote control unit, all individual control components communicate with each other via RS 485 bus.

TECHNICAL DATA:
Type: KWB Powerfire type TDS 150/151
Maximum heating output: 150/151 kW (at 30% water content)
Max. permissible operational pressure: 3.5 bar
Output range: 45 – 150/151 kW

Environmental conditions for operation: temperature -10 to +40 °C, rel. humidity 5% to 95%, not condensing";KWB Powerfire modèle TDS 150                                   ;"Chaudière à granulés et à plaquettes. Peut être utilisée avec le dispositif d’alimentation KWB. SYSTÈME DE COMBUSTION KWB : Système de combustion à alimentation automatique avec grille tournante. Le combustible est poussé latéralement sur une grille tournante composée de plusieurs anneaux. Le combustible est acheminé grâce au mouvement de rotation de la grille. Cette technique permet d’obtenir un lit de combustible particulièrement stable et régulier, d’où des conditions optimales pour le processus de gazéification. La vis d’alimentation est une vis à montée progressive conçue pour empêcher tout bourrage. L’alimentation en air comburant primaire s’effectue au moyen de ventilateurs à vitesse variable. Cet air est amené sous la grille tournante par un système spécial de répartition de l’air qui, malgré le mouvement de rotation de la grille, permet d’assurer une alimentation en air à la fois graduelle et échelonnée par zone. Le contrôle du débit de l’air permet d’adapter parfaitement les quantités d’air envoyées dans la chambre de combustion à la vitesse de la gazéification du combustible sur la grille tournante. Le système de combustion est conçu pour les plaquettes B1 et B2 selon la norme CEN TC 335, pour les granulés conformes à EN 14961-2ainsi que pour les granulés de type industriel. L’allumage du combustible s’effectue de façon entièrement automatique au moyen d’un ventilateur à air chaud (puissance de 1 400 watt). La cendre produite à l’issue de la combustion est évacuée de la chambre de combustion par un dispositif de nettoyage conçu spécialement à cette fin. La cendre tombe sur une vis de décendrage située sous le système de combustion. Celle-ci transfère ensuite la cendre vers le cendrier placé contre la chaudière. Le dispositif de sécurité contre les retours de combustion est composé d’un clapet coupe-feu entièrement étanche aux gaz et fumées ainsi que d’un dispositif de sécurité à effet thermique contre les retours de feu. Le clapet coupe-feu a été contrôlé et homologué par l’Institut des techniques de protection anti-incendie de Linz. Sa fermeture est automatique (même en cas de coupure de courant) et s’effectue au moyen d’un servomoteur à ressort de rappel (1,5 Nm). Le dispositif de sécurité à effet thermique contre les retours de feu est un dispositif d’extinction de secours qui fonctionne sans alimentation électrique. Les fumées finissent de brûler dans la zone de combustion secondaire, en l’occurrence une chambre de combustion verticale à convection circulaire. Avec une buse d’air secondaire spécialement conçue à cette fin, la chambre de combustion verticale à convection circulaire contraint le mélange air-fumées à former un tourbillon, ce qui permet d’obtenir des conditions de combustion absolument parfaites et donc un taux d’émissions polluantes extrêmement faible. En outre, l’écoulement tourbillonnaire plaque les particules de poussières contre la paroi de la chambre de combustion à convection circulaire, ce qui permet d’obtenir de très faibles émissions de particules. CHAUDIÈRE KWB : Échangeur thermique à tubes verticaux composé de tubes en acier spécial et sans soudures ainsi que du dispositif de nettoyage automatique KWB (turbulateurs et mécanisme d’entraînement propre). AVANTAGE : un degré d’efficacité constant. La partie inférieure de la chaudière est refroidie par eau au niveau du système de combustion, ce qui réduit considérablement les pertes de chaleur par rayonnement. L’isolation complète de la chaudière permet, elle aussi, de minimiser les pertes par rayonnement. LE VENTILATEUR DE TIRAGE KWB Ventilateur centrifuge à air chaud : les pales du ventilateur sont en acier spécial résistant aux acides. AVANTAGE : aucun problème de tirage ! MODULE DE COMMANDE NUMÉRIQUE KWB Comfort 3 Ces chaudières sont toutes équipées du module de commande numérique KWB Comfort avec son système de navigation particulièrement novateur qui permet une manipulation extrêmement conviviale. La puissance de la chaudière est réglée de façon entièrement automatique ; celle-ci varie de façon contrôlée, en fonction des besoins calorifiques (entre le mode veille et le fonctionnement à pleine puissance). La chaudière est équipée d’une cellule photoélectrique qui contrôle le niveau de remplissage du combustible ainsi que d’un système entièrement nouveau de régulation de la combustion au niveau de la grille tournante. Combinés à un système d’analyse permanente des fumées, ces éléments garantissent des conditions de combustion optimale, un rendement thermique élevé et constant ainsi qu’une très faible quantité d’émissions polluantes. KWB Comfort 3 est composé des éléments suivants : – une carte E/S (entrées-sorties et barre à bornes) avec capteurs – 1 commande équipée d’un large écran d’affichage, de deux boutons de réglage et d’un bouton tournant (commande de défilement) Le module de commande numérique KWB Comfort 3 est un système modulaire qui dont les fonctions peuvent être étendues en y ajoutant : – 1 module d’extension de circuit de chauffage permettant de piloter 2 circuits, 1 chauffe-eau et 1 ballon tampon – 1 télécommande numérique – 1 télécommande analogique Configuration maximale : – 32 circuits de chauffage – 17 chauffe-eau – 17 ballons tampon Tous les composants de la commande de régulation — à l’exception de la télécommande analogique — communiquent entre eux au moyen d’un bus RS 485. CARACTÉRISTIQUES TECHNIQUES : Modèle : KWB Powerfire TDS 150/151 Puissance thermique maximale : 150/151 kW (pour une teneur en eau de 30 %) Pression de service maximale autorisée : 3,5 bar Puissance comprise entre 45 et 150/151 kW Diamètre de la conduite d’eau: DN 50 (bride) Régulateur thermique: ¾ “ Raccordement: 3+N 400 VAC 50Hz Puissance de raccordement chaudière: 3010 W (excl. système d’extraction) Poids total (à vide): 1972 kg
Remarque pour la planification : Température ambiante d’exploitation : de -10 à +40 °C, humidité relative de 5 % à 95 %, pas de condensation";KWB Powerfire mod. TDS 150                                     ;"Sistema di riscaldamento a cippato e pellet combinabile con il dispositivo di estrazione KWB.

KWB SISTEMA DI COMBUSTIONE:
Il sistema di combustione è dotato di una speciale alimentazione a griglia girevole. Il combustibile viene sospinto lateralmente sulla griglia girevole che si compone di diversi anelli. Il trasporto del combustibile avviene grazie al movimento rotatorio della griglia, il che permette di evitare rimescolamenti nel letto delle braci ed assicura condizioni di gasificazione ottimali.

La coclea di alimentazione, dotata di una spirale progressivamente ascendente, è stata concepita in modo tale da evitare il ristagno del combustibile. L’aria di combustione viene immessa attraverso una serie di ventilatori con controllo del numero di giri posti sotto la griglia di rotazione. Un particolare sistema di distribuzione dell’aria assicura un apporto progressivo ed omogeneo in tutte le zone nonostante il movimento di rotazione. L’apporto progressivo fa sì che il sistema adegui perfettamente la quantità di aria immessa alla velocità di gasificazione del combustibile presente sulla griglia.

Il sistema di combustione è concepito per cippato delle classi B1 e B2 conforme alla norma CEN TC 335 e pellet di legno conforme alla norma EN 14961-2 come anche per pellet industriale.

L’accensione del combustibile avviene in maniera pienamente automatica tramite un soffiante d’aria calda (potenza: 1.400 watt). Dopo la combustione completa del materiale, la cenere residua viene portata fuori dalla camera di combustione per mezzo di uno speciale sistema di pulizia e fatta cadere su di una coclea di asporto posta sotto il sistema di combustione. Questa convoglia la cenere nell’apposito contenitore annesso.

Contro il ritorno di fiamma sono stati pervisti una saracinesca antincendio a tenuta di gas ed un dispositivo di sicurezza termica. La saracinesca, che è assolutamente a tenuta di gas, è testata e certificata dall'Istituto per le tecnologie antincendio e la ricerca sulla sicurezza e si chiude automaticamente in caso di mancanza di corrente per mezzo di un motore con ritorno a molla (1,5 Nm). Il dispositivo di sicurezza termica è stato concepito quale dispositivo di estinzione automatica d’emergenza e funziona senza corrente.

Nella successiva zona di combustione secondaria, strutturata quale camera di combustione a rotazione disposta verticalmente, avviene la combustione finale dei gas del legno. In combinazione con uno speciale ugello per l’aria secondaria la camera di combustione a rotazione fa sì che la mistura di gas combusto ed aria circoli in maniera vorticosa assicurando condizioni di combustione ideali ed emissioni bassissime. In aggiunta, il movimento vorticoso permette di separare le particelle di polvere sospese nella mistura, le quali vengono depositate sulle pareti della camera di combustione a rotazione. Ciò assicura livelli di emissione di polveri bassissimi.

CALDAIA KWB:
scambiatore termico a fasci di tubi verticali composto da tubi contigui e sistema di pulizia dello scambiatore KWB (con turbolatori e unità di azionamento propria). VANTAGGIO: grado di efficacia costante.

La parte inferiore, posta a livello del sistema di combustione, è raffreddata ad acqua, il che consente di ridurre efficacemente la dispersione di calore. L'isolamento che avvolge tutto il sistema contribuisce a ridurre ulteriormente la dispersione del calore.

VENTILATORE DI TIRAGGIO KWB:
ventilatore radiale ad aria calda in acciaio legato resistente agli acidi.
VANTAGGIO: nessun problema di tiraggio!

SISTEMA DI REGOLAZIONE CON MICROPROCESSORE KWB COMFORT 3:
dotato di sistema di regolazione con microprocessore KWB-Comfort di serie incl. innovativo interfaccia utente. La potenza della caldaia viene regolata in maniera completamente automatica a seconda del fabbisogno di calore, passando dallo stato di attesa al regime a pieno carico. Un sistema intelligente di regolazione del livello di riempimento del combustibile non a contatto unito ad un innovativo dispositivo di controllo della combustione posto sulla griglia e ad una continua analisi dei gas combusti garantisce condizioni di combustione ottimali ed emissioni bassissime ad altissime prestazioni.

KWB Comfort 3 composto da:
– scheda madre di entrata/uscita compresa morsettiera e sensori
– 1 dispositivo di regolazione con ampio display grafico, 1 manopola di scorrimento e 2 pulsanti di comando

Su pagamento di un sovrapprezzo, il KWB Comfort 3 è ampliabile in maniera modulare con:
– modulo di ampliamento del circuito calorico per 2 circuiti calorici, un boiler ed un tampone
– dispositivo di comando a distanza digitale
– dispositivo di comando a distanza analogico

Configurazione massima:
– 32 circuiti calorici
– 17 boiler
– 17 tamponi

Ad eccezione del dispositivo di comando a distanza analogico, tutte le altre componenti comunicano fra loro a mezzo cavo bus RS 485.

DATI TECNICI:
Tipo: KWB Powerfire mod. TDS 150/151
Potenza calorifica massima: 150/151 kW (con contenuto d’acqua del 30%)
Pressione di esercizio massima ammessa : 3,5 bar
Gamma di potenza: 45 – 150/151 kW

Diametro del condotto dell'acqua: DN 50 (flangia)
Dispositivo die regolazione termica: ¾ “
Allacciamento elettrico: 3+N 400 VAC 50Hz
Potenza di allacciamento caldaia: 3010 W (escl. DE)
Peso complessivo a vuoto: 1972 kg

Consiglio per la progettazione: condizioni ambientali per il funzionamento: temperatura da -10 a +40 °C, umidità relativa da 5 % a 95 %, non condensante";KWB Powerfire, tip TDS 150                                     ;"Ogrevalni sistem na lesne sekance in pelete primeren za kombinacijo s KWB dozirnimi sistemi.

KWB GORILNI SISTEM:
Gorilni sistem je izveden kot kuriš?e s stranskim potiskom z rotirajo?o obro?asto rešetko. Gorivo se stransko potiska na rotirajo?o rešetko.

Gorilni sistem je primeren za zgorevanje sekancev P16S in P31S z do 45% vsebnosti vode po ISO 17225-4 in lesnih peletov kvalitetnega razreda A1 in A2 v skladu z ISO 17225-2.

Vžig goriva potega samodejno s pomo?jo vžigalnika z vro?im zrakom (mo?: 1.000 W). Nastajajo?i pepel se s pomo?jo priprave za ?iš?enje odstranjuje iz kuriš?a in transportiran v prigrajeno posod za pepel.

Kot protipožarna naprava služi plinotesno zapirajo?a se protipožarna loputa in termi?no varovanje proti povratnemu ognju: Tesna protipožarna loputa zapira ob izpadu elektri?nega toka s pomo?jo motorja s povratno vzmetjo. Termi?no varovanje povratnega ognja je izvedeno kot priprava za gašenje v sili in deluje brez elektri?nega napajanja.

KWB KOTEL:
Stoje?i cevni toplotni izmenjevalec - sestoji iz cevi iz kotlovske plo?evine in avtomatskega ?iš?enja toplotnega izmenjevalca PREDNOST: vseskozi enako visok izkoristek naprave.

Podnožje v predelu gorilnega sistema kot tudi pokrov toplotnega izmenjevalca sta vodno hlajena, kar zamnjšuje sevalne izgube. S polno izolacijo pa se te sevalne izgube še dodatno zamnjšajo.

KWB VENTILATOR SESALNEGA VLEKA:
Vro?ezra?ni radilani ventilator - radialna veternica iz kisloodpornega plemenitega jekla. PREDNOST: nobenih težav z vlekom!

KWB COMFORT 3 MIKROPROCESORSKA REGULACIJA:
Serisjko opremljen z KWB-Comfort mikropocesorsko regulacijo vkl. z upravljalnim konceptom. Mo? kotla se potrebi po toploti prilagaja glede na potrebo in samodejno iz stanja pripravljenosti do polne obremenitve.

KWB Comfort 3 sestoji iz:
- I/O-osnovne ploš?e (Vhodi/izhodi plus priklju?na letvica) vkl. posamezno senzoriko
- 1 kos upravljalna naprava z raskošnim grafi?nim zaslonom ter 1 vrtljivim kolescem in 2 upravljalnimi tipkami
KWB Comfort 3 je proti dopla?ilu modularno nadgradljiva z razširitvenimi modulomi za 2 ogrevalna kroga in 1 bojler & hranilnik, enim digitalnim in analognim daljinjskim upravljalcem,
Maksimalna konfiguracija: 32 ogrevalni krogov, 17 bojlerjev, 17 hranilnikov
Posamezne regulacijske komponente komunicirajo preko RS 485 BUS povezave razno analognih upravljalnih enot.


TEHNI?NI PODATKI:
Tip: KWB Powerfire tip TDS 150/151
Maksmalna ogrevalna mo?: 150/151 kW (pri 30% vsebnosti vode)
Maks. dovoljeni delovni tlak: 3,5 bar
Obmo?je mo?i: 45 - 150/151 kW

Vodni priklju?ek premer: DN 50 (prirobnica)
Termi?na odvodna varovalka: 3/4
Elektri?ni priklju?ek: 400 V 5-polni 50Hz
Elektri?na priklju?na mo? kotla: 3010 W (brez dozirne naprave)
Skupna teža prazno: 1634 kg
Okoljski pogoji za obratovanje: temperatura od -10 do +40 °C, rel. vlažnost zraka od 5 do 95 %, brez kondenzacije";KWB Powerfire tipo TDS 150;;KWB Powerfire type TDS 150;"Snipper- en pelletverwarming geschikt voor combinatie met KWB-brandstofaanvoersysteem.
KWB-VERBRANDINGSSYSTEEM:
Het verbrandingssysteem is als uitgevoerd met brandstofinschuiving met draairingrooster. De brandstof wordt van de zijkant op het draairingrooster geschoven.

Het verbrandingssysteem is geschikt voor de verbranding van snippers P16B, P45A  met een watergehalte tot 45 % resp. EN14961-4  en houtpellets conform EN 14961-2 en houtpellets kwaliteitsklasse A1 en A2.


De ontsteking van de brandstof gebeurt volledig automatisch met heteluchtblazer (vermogen: 1.000 watt). De as wordt door een reinigingssysteem uit de stookruimte afgevoerd en naar het aangebouwde asreservoir getransporteerd.

Als terugbrandbeveiliging dient een gasdicht sluitende brandveiligheidsklep en een thermische terugbrandbeveiliging: de dicht brandveiligheidsklep sluit vanzelf bij stroomuitval middel veerterugtrekmotor. De thermische terugbrandbeveiliging is uitgevoerd als noodblusinstallatie voor het blussen van de terugbrand en werkt zonder stroom.

KWB- VERWARMINGSKETEL:
Staande buiswarmtewisselaar – bestaande uit stalen ketelbuizen en automatische warmtewisselaarreiniging. VOORDEEL: gelijkblijvend hoog rendement.

De onderbouw in de buurt van het verbrandingssysteem en het deksel van de warmtewisselaar zijn watergekoeld, waardoor de afstraalverliezen verminderen. Door de volledige isolatie worden de afstraalverliezen nog verder geminimaliseerd.

KWB-ROOKGASEXTRACTOR:
Radiale heteluchtventilator – radiaal ventilatorwiel uit zuurbestendig roestvrij staal. Voordeel: geen trekproblemen!

KWB COMFORT 3-MICROPROCESSORREGELING:
standaard met KWB Comfort-microprocessorregeling incl. bedienconcept. Het ketelvermogen wordt vraagafhankelijk en automatisch van stand-by tot vollast aangepast aan de warmtevraag.

KWB Comfort 3 bestaande uit:
- I/O-printplaat (in-/uitgangen plus aansluitblok) incl. alle sensoren
- 1 st. bedienpaneel met groot display, 1 scrollwiel en 2 bedientoetsen
De KWB Comfort 3 kan tegen meerprijs modulair worden uitgebreid met een verwarmingscircuit-uitbreidingsmodule voor 2 ververwarmingscircuits en een boiler en buffertank, een digitale en analoge afstandsbediening,
maximale configuratie: 32 verwarmingscircuits, 16 boilers, 16 buffertanks
Tot op de analoge afstandsbediening communiceren de regelingscomponenten middels RS 485-bus met elkaar.

TECHNISCHE GEGEVENS:
Type: KWB Powerfire type TDS 150/151
Maximaal verwarmingsvermogen: 150/151 kW (bij 30% watergehalte)
Max. toegestane bedrijfsdruk: 3,5 bar
Vermogensbereik: 45 - 150/151 kW

Wateraansluiting diameter: DN 50 (flens)
Thermische afvoerbeveiliging: 3/4||||||
Aansluiting elektrisch: 400 V 5-polig 50Hz
Elektrisch aansluitvermogen ketel: 3010 W (excl. brandstofaanvoer)
Totaalgewicht leeg: 1972 kg ";;;;;;;TDS;334753;2775;
